mobid,mobname,level,category_label,species_label,boss,icon_url,file
100100,蜗牛,1,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0100100.img.stand.0.png,100100_蜗牛.png
100101,蓝蜗牛,2,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0100101.img.stand.0.png,100101_蓝蜗牛.png
100120,提诺,1,普通怪物,其他,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0100120.img.stand.0.png,100120_提诺.png
100121,提布,3,普通怪物,其他,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0100121.img.stand.0.png,100121_提布.png
100122,提姆,5,普通怪物,其他,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0100122.img.stand.0.png,100122_提姆.png
100123,提鲁,7,普通怪物,其他,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0100123.img.stand.0.png,100123_提鲁.png
100124,提古尔,9,普通怪物,其他,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0100124.img.stand.0.png,100124_提古尔.png
100130,雪精灵,1,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0100130.img.stand.0.png,100130_雪精灵.png
100131,香肠嘴雪精灵,3,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0100131.img.stand.0.png,100131_香肠嘴雪精灵.png
100132,囧囧雪精灵,5,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0100132.img.stand.0.png,100132_囧囧雪精灵.png
100133,趴趴雪精灵,7,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0100133.img.stand.0.png,100133_趴趴雪精灵.png
100134,呆呆雪精灵,9,普通怪物,动物,0,https://mxdc.dvg.cn/dbsource/mobsource/Mob._Canvas.0100134.img.stand.0.png,100134_呆呆雪精灵.png
