epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4958,0.69436,2.66461,0.87223,0.00639,1,0.63971,0.49446,0.5768,3.31968,0.75685,0.000537144,0.000537144,0.000537144
2,84.5729,0.61614,1.63912,0.86893,0.00599,0.91667,0.77179,0.67177,0.50392,3.15863,0.78371,0.000984623,0.000984623,0.000984623
3,122.791,0.59649,1.46611,0.84527,0.94525,0.67884,0.98677,0.86424,0.5021,2.08671,0.80521,0.00132208,0.00132208,0.00132208
4,159.318,0.59682,1.39214,0.85302,0.97895,1,0.99456,0.89961,0.46314,1.04441,0.78348,0.0011719,0.0011719,0.0011719
5,197.136,0.56701,1.24039,0.85062,0.99382,0.99903,0.995,0.9071,0.42869,0.98955,0.78383,0.00100687,0.00100687,0.00100687
6,233.377,0.50294,1.08401,0.8296,0.99178,1,0.995,0.92703,0.35842,0.90756,0.76706,0.000841835,0.000841835,0.000841835
7,271.835,0.45549,0.98323,0.81445,0.99628,0.99986,0.995,0.94347,0.35204,0.76326,0.76704,0.000676802,0.000676802,0.000676802
8,309.59,0.44024,0.92105,0.82516,0.99685,1,0.995,0.95253,0.31534,0.75589,0.76387,0.000511769,0.000511769,0.000511769
9,349.212,0.3717,0.83717,0.81888,0.99769,1,0.995,0.95516,0.29664,0.66731,0.76481,0.000346736,0.000346736,0.000346736
10,390.017,0.38745,0.79374,0.81821,0.99807,1,0.995,0.95876,0.2763,0.65531,0.7626,0.000181703,0.000181703,0.000181703
