epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6319,0.76516,3.0775,0.89942,0.00464,0.87094,0.15463,0.07668,0.53366,3.73095,0.79815,0.000537144,0.000537144,0.000537144
2,79.6778,0.69684,1.98485,0.91036,0.00544,1,0.57373,0.51614,0.49418,3.21107,0.80678,0.00100265,0.00100265,0.00100265
3,116.413,0.61832,1.96941,0.86726,0.79637,0.47216,0.71999,0.60301,0.594,2.67638,0.83012,0.00137648,0.00137648,0.00137648
4,158.358,0.53936,1.51219,0.84703,0.97499,0.97633,0.99347,0.89726,0.47779,1.59238,0.79064,0.00125442,0.00125442,0.00125442
5,198.236,0.54646,1.3357,0.8691,0.96868,0.98404,0.9945,0.89919,0.44259,1.3239,0.78256,0.00111689,0.00111689,0.00111689
6,235.597,0.5064,1.20761,0.84366,0.98405,1,0.995,0.9079,0.40244,0.99846,0.77687,0.000979362,0.000979362,0.000979362
7,280.764,0.48537,1.07551,0.85281,0.99832,0.9905,0.995,0.9261,0.40861,0.91872,0.78124,0.000841835,0.000841835,0.000841835
8,321.047,0.45261,1.00574,0.82158,0.99289,0.99927,0.995,0.9263,0.3727,0.84219,0.77327,0.000704307,0.000704307,0.000704307
9,357.938,0.4263,0.98056,0.82998,0.99132,0.9991,0.995,0.93395,0.35443,0.75394,0.76839,0.00056678,0.00056678,0.00056678
10,393.29,0.43698,0.92824,0.827,0.99393,0.99891,0.995,0.94586,0.32458,0.73366,0.76491,0.000429253,0.000429253,0.000429253
11,428.503,0.39813,0.91561,0.82432,0.99019,0.99888,0.995,0.9446,0.30147,0.71598,0.76105,0.000291725,0.000291725,0.000291725
12,464.126,0.36418,0.88077,0.81439,0.99021,0.9986,0.995,0.94882,0.29231,0.6752,0.76269,0.000154198,0.000154198,0.000154198
