epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5266,2.21439,5.87444,1.73728,0.0022,0.85714,0.00344,0.00104,2.5121,4.88006,1.76571,0.00041675,0.00041675,0.00041675
2,4.89464,2.75181,6.80113,1.87822,0.0022,0.85714,0.00344,0.00104,2.5121,4.88006,1.76571,0.000960383,0.000960383,0.000960383
3,7.10309,2.35744,5.68016,1.75475,0.0022,0.85714,0.00344,0.00104,2.5121,4.88006,1.76571,0.00149026,0.00149026,0.00149026
4,9.45737,2.87785,6.21845,1.91059,0.00194,0.71429,0.013,0.00644,2.01298,4.79892,1.45625,0.00160511,0.00160511,0.00160511
5,11.6596,1.45169,5.57816,1.17627,0.00194,0.71429,0.013,0.00644,2.01298,4.79892,1.45625,0.00158448,0.00158448,0.00158448
6,13.8943,2.04842,4.57955,1.49138,0.00194,0.71429,0.013,0.00644,2.01298,4.79892,1.45625,0.00156385,0.00156385,0.00156385
7,16.0425,1.99632,4.38305,1.6162,0.00194,0.71429,0.013,0.00644,2.01298,4.79892,1.45625,0.00154323,0.00154323,0.00154323
8,18.3058,2.24899,5.06247,1.58668,0.00303,0.85714,0.00292,0.00098,2.08839,5.1586,1.53834,0.0015226,0.0015226,0.0015226
9,20.5792,2.40922,4.6994,1.81908,0.00303,0.85714,0.00292,0.00098,2.08839,5.1586,1.53834,0.00150197,0.00150197,0.00150197
10,22.7912,2.11452,4.30982,1.66167,0.00303,0.85714,0.00292,0.00098,2.08839,5.1586,1.53834,0.00148134,0.00148134,0.00148134
11,25.0267,2.03864,4.77646,1.39023,0.00303,0.85714,0.00292,0.00098,2.08839,5.1586,1.53834,0.00146071,0.00146071,0.00146071
12,27.1767,1.79602,5.31303,1.32407,0.00311,0.85714,0.00322,0.00165,1.72473,4.63119,1.49818,0.00144008,0.00144008,0.00144008
13,29.4443,1.75084,3.88828,1.32944,0.00311,0.85714,0.00322,0.00165,1.72473,4.63119,1.49818,0.00141945,0.00141945,0.00141945
14,31.6773,1.96527,4.45891,1.36959,0.00311,0.85714,0.00322,0.00165,1.72473,4.63119,1.49818,0.00139882,0.00139882,0.00139882
15,34.019,1.75838,3.62125,1.26583,0.00311,0.85714,0.00322,0.00165,1.72473,4.63119,1.49818,0.00137819,0.00137819,0.00137819
16,36.2096,1.80041,5.59591,1.32329,0.0006,0.07143,0.0001,6e-05,1.81228,4.95111,1.45904,0.00135756,0.00135756,0.00135756
17,38.5407,1.96897,5.04596,1.40622,0.0006,0.07143,0.0001,6e-05,1.81228,4.95111,1.45904,0.00133693,0.00133693,0.00133693
18,40.7305,1.68775,4.5651,1.3532,0.0006,0.07143,0.0001,6e-05,1.81228,4.95111,1.45904,0.0013163,0.0013163,0.0013163
19,43.0554,1.69294,4.49307,1.15896,0.00308,0.92857,0.00728,0.00254,1.43734,4.49597,1.28912,0.00129568,0.00129568,0.00129568
20,45.2583,1.71439,3.96125,1.26707,0.00308,0.92857,0.00728,0.00254,1.43734,4.49597,1.28912,0.00127505,0.00127505,0.00127505
21,47.5187,1.36859,3.92209,1.17097,0.00308,0.92857,0.00728,0.00254,1.43734,4.49597,1.28912,0.00125442,0.00125442,0.00125442
22,49.8462,1.53238,3.91349,1.2751,0.00308,0.92857,0.00728,0.00254,1.43734,4.49597,1.28912,0.00123379,0.00123379,0.00123379
23,52.0413,1.37112,4.26201,1.28354,0.00326,1,0.07166,0.04349,1.39583,4.19905,1.26216,0.00121316,0.00121316,0.00121316
24,54.4226,1.52672,3.47206,1.39895,0.00326,1,0.07166,0.04349,1.39583,4.19905,1.26216,0.00119253,0.00119253,0.00119253
25,56.6103,1.43865,3.776,1.29118,0.00326,1,0.07166,0.04349,1.39583,4.19905,1.26216,0.0011719,0.0011719,0.0011719
26,58.9464,1.62811,3.79285,1.44229,0.00326,1,0.07166,0.04349,1.39583,4.19905,1.26216,0.00115127,0.00115127,0.00115127
27,61.3438,1.46152,4.09959,1.28391,0.0031,1,0.28437,0.11463,1.37851,3.94673,1.24878,0.00113064,0.00113064,0.00113064
28,63.6267,1.2924,3.54806,1.20001,0.0031,1,0.28437,0.11463,1.37851,3.94673,1.24878,0.00111001,0.00111001,0.00111001
29,65.8233,1.35242,3.70558,1.26397,0.0031,1,0.28437,0.11463,1.37851,3.94673,1.24878,0.00108938,0.00108938,0.00108938
30,68.1594,1.24913,3.73765,1.23008,0.0031,1,0.28437,0.11463,1.37851,3.94673,1.24878,0.00106876,0.00106876,0.00106876
31,70.536,1.33103,3.28009,1.18038,0.87089,0.20723,0.39271,0.2619,1.24381,3.4656,1.19428,0.00104813,0.00104813,0.00104813
32,72.9114,1.06013,3.42151,1.1042,0.87089,0.20723,0.39271,0.2619,1.24381,3.4656,1.19428,0.0010275,0.0010275,0.0010275
33,75.1495,1.60397,3.26967,1.25245,0.87089,0.20723,0.39271,0.2619,1.24381,3.4656,1.19428,0.00100687,0.00100687,0.00100687
34,77.5171,1.45661,3.19489,1.2746,0.27497,0.35714,0.35288,0.26735,1.1079,2.91532,1.14554,0.000986239,0.000986239,0.000986239
35,79.7232,1.02348,2.45469,1.09019,0.27497,0.35714,0.35288,0.26735,1.1079,2.91532,1.14554,0.00096561,0.00096561,0.00096561
36,82.0252,1.01844,2.95802,1.0193,0.27497,0.35714,0.35288,0.26735,1.1079,2.91532,1.14554,0.000944981,0.000944981,0.000944981
37,84.2621,1.22201,2.96099,1.07175,0.27497,0.35714,0.35288,0.26735,1.1079,2.91532,1.14554,0.000924352,0.000924352,0.000924352
38,86.5685,1.3146,3.25359,1.11023,0.5,0.35298,0.47817,0.3581,1.0522,2.72734,1.13108,0.000903722,0.000903722,0.000903722
39,88.7597,0.95009,2.74977,0.99144,0.5,0.35298,0.47817,0.3581,1.0522,2.72734,1.13108,0.000883093,0.000883093,0.000883093
40,91.0283,1.01348,3.03159,1.08255,0.5,0.35298,0.47817,0.3581,1.0522,2.72734,1.13108,0.000862464,0.000862464,0.000862464
41,93.215,0.89527,2.77994,1.03352,0.5,0.35298,0.47817,0.3581,1.0522,2.72734,1.13108,0.000841835,0.000841835,0.000841835
42,95.5686,1.02345,2.67716,1.04893,0.47855,0.5,0.54273,0.41358,0.98581,2.46914,1.12201,0.000821206,0.000821206,0.000821206
43,97.8098,1.17764,2.6553,1.11192,0.47855,0.5,0.54273,0.41358,0.98581,2.46914,1.12201,0.000800577,0.000800577,0.000800577
44,100.137,0.96486,2.34562,1.01153,0.47855,0.5,0.54273,0.41358,0.98581,2.46914,1.12201,0.000779948,0.000779948,0.000779948
45,102.551,1.06685,2.77509,1.07327,0.47855,0.5,0.54273,0.41358,0.98581,2.46914,1.12201,0.000759318,0.000759318,0.000759318
46,104.839,0.84054,2.11719,1.03976,0.5,0.4199,0.5385,0.38943,0.94421,2.41803,1.09995,0.000738689,0.000738689,0.000738689
47,107.019,0.83839,2.20073,0.97138,0.5,0.4199,0.5385,0.38943,0.94421,2.41803,1.09995,0.00071806,0.00071806,0.00071806
48,109.343,1.11851,2.5102,0.95427,0.5,0.4199,0.5385,0.38943,0.94421,2.41803,1.09995,0.000697431,0.000697431,0.000697431
49,111.551,0.83551,2.5471,0.95489,0.42418,0.5,0.52975,0.40335,0.95686,2.20584,1.09831,0.000676802,0.000676802,0.000676802
50,113.803,1.03407,2.39515,1.09465,0.42418,0.5,0.52975,0.40335,0.95686,2.20584,1.09831,0.000656173,0.000656173,0.000656173
51,115.961,0.94778,2.41869,0.96426,0.42418,0.5,0.52975,0.40335,0.95686,2.20584,1.09831,0.000635544,0.000635544,0.000635544
52,118.324,0.87044,2.21516,0.9172,0.42418,0.5,0.52975,0.40335,0.95686,2.20584,1.09831,0.000614915,0.000614915,0.000614915
